CustomerID,Gender,Age,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,Churn
79,Male,29,6,99.9,599.4,Two Year,Credit Card,0
80,Female,34,60,33.8,2028.0,Month-to-Month,Mailed Check,1
81,Male,27,45,42.24,1900.8,Two Year,Credit Card,0
82,Female,51,44,77.71,3419.24,Month-to-Month,Electronic Check,0
83,Male,23,18,46.5,837.0,Month-to-Month,Credit Card,1
84,Female,25,65,86.13,5598.45,Two Year,Mailed Check,0
85,Male,78,25,80.81,2020.25,One Year,Credit Card,0
86,Male,68,27,30.81,831.87,Month-to-Month,Credit Card,0
87,Female,28,7,85.6,599.2,Month-to-Month,Mailed Check,0
88,Male,74,44,112.4,4945.6,One Year,Bank Transfer,0
89,Female,29,29,36.11,1047.19,Two Year,Electronic Check,0
90,Female,26,44,79.71,3507.24,Two Year,Credit Card,0
91,Female,19,36,54.19,1950.84,One Year,Mailed Check,0
92,Female,25,19,65.96,1253.24,Two Year,Credit Card,0
93,Female,75,6,48.7,292.2,One Year,Electronic Check,0
94,Female,28,25,55.41,1385.25,One Year,Electronic Check,0
95,Female,77,31,22.89,709.59,One Year,Electronic Check,0
96,Female,70,9,118.16,1063.44,Month-to-Month,Credit Card,0
97,Female,53,37,82.48,3051.76,Month-to-Month,Bank Transfer,0
98,Female,27,27,70.07,1891.89,Month-to-Month,Bank Transfer,1
99,Female,38,13,58.37,758.81,One Year,Bank Transfer,0
100,Male,37,41,73.94,3031.54,Month-to-Month,Mailed Check,0
101,Male,65,66,58.01,3828.66,Month-to-Month,Bank Transfer,0
102,Female,25,24,55.99,1343.76,Month-to-Month,Bank Transfer,0
103,Female,53,44,66.39,2921.16,Month-to-Month,Electronic Check,0
104,Female,46,60,47.6,2856.0,One Year,Mailed Check,0
105,Female,59,9,38.0,342.0,Month-to-Month,Electronic Check,0
106,Female,29,2,75.66,151.32,Month-to-Month,Credit Card,1
107,Female,78,56,104.28,5839.68,One Year,Credit Card,0
108,Female,31,30,35.28,1058.4,Two Year,Electronic Check,0
109,Female,65,22,23.27,511.94,Month-to-Month,Mailed Check,1
110,Male,71,13,44.68,580.84,Month-to-Month,Bank Transfer,1
111,Female,67,71,117.97,8375.87,Two Year,Bank Transfer,0
112,Male,38,16,102.88,1646.08,Month-to-Month,Mailed Check,1
113,Female,39,45,79.59,3581.55,Two Year,Bank Transfer,0
114,Female,38,65,112.92,7339.8,Month-to-Month,Bank Transfer,1
115,Male,61,11,64.53,709.83,Month-to-Month,Electronic Check,1
116,Female,67,70,118.33,8283.1,Month-to-Month,Credit Card,1
117,Male,47,20,49.63,992.6,Month-to-Month,Mailed Check,0
118,Female,56,63,44.03,2773.89,Two Year,Mailed Check,0
119,Female,37,12,83.8,1005.6,Two Year,Bank Transfer,0
120,Male,41,62,57.82,3584.84,Two Year,Bank Transfer,0
121,Female,40,42,82.64,3470.88,Two Year,Credit Card,0
122,Male,24,69,50.5,3484.5,Two Year,Mailed Check,0
123,Female,26,58,81.79,4743.82,One Year,Electronic Check,0
124,Male,18,5,47.57,237.85,Two Year,Credit Card,0
125,Male,43,27,25.1,677.7,Month-to-Month,Electronic Check,0
126,Female,55,28,111.21,3113.88,Month-to-Month,Credit Card,1
127,Female,55,26,108.32,2816.32,One Year,Electronic Check,0
128,Male,71,49,117.08,5736.92,Two Year,Electronic Check,1
129,Female,78,21,91.65,1924.65,One Year,Electronic Check,0
130,Female,61,1,88.27,88.27,Two Year,Mailed Check,0
131,Female,39,58,75.9,4402.2,Month-to-Month,Bank Transfer,0
132,Male,61,55,32.59,1792.45,One Year,Mailed Check,0
133,Male,27,26,38.92,1011.92,Two Year,Electronic Check,0
134,Male,72,25,48.95,1223.75,Month-to-Month,Bank Transfer,1
135,Male,79,33,109.02,3597.66,Two Year,Electronic Check,0
136,Male,75,72,37.3,2685.6,One Year,Credit Card,0
137,Male,23,69,112.29,7748.01,One Year,Bank Transfer,0
138,Male,34,6,72.28,433.68,Two Year,Mailed Check,0
139,Male,68,23,91.56,2105.88,Month-to-Month,Electronic Check,0
140,Male,67,30,31.02,930.6,Month-to-Month,Bank Transfer,0
141,Female,55,54,46.9,2532.6,One Year,Mailed Check,0
142,Male,41,11,115.85,1274.35,Month-to-Month,Credit Card,1
143,Female,68,31,46.61,1444.91,Month-to-Month,Electronic Check,1
144,Female,27,6,49.65,297.9,Month-to-Month,Mailed Check,1
145,Female,73,11,39.76,437.36,Two Year,Bank Transfer,0
146,Male,25,12,32.91,394.92,Month-to-Month,Credit Card,0
147,Male,38,66,43.33,2859.78,Month-to-Month,Electronic Check,0
148,Male,73,53,84.23,4464.19,Two Year,Mailed Check,0
149,Male,23,36,65.54,2359.44,Two Year,Credit Card,0
150,Female,38,17,75.38,1281.46,One Year,Credit Card,0
151,Male,74,28,32.24,902.72,One Year,Mailed Check,0
152,Male,79,22,100.21,2204.62,Month-to-Month,Electronic Check,0
153,Male,56,7,98.41,688.87,Month-to-Month,Mailed Check,1
154,Male,41,15,22.16,332.4,Month-to-Month,Credit Card,0
155,Male,50,11,58.35,641.85,One Year,Credit Card,0
156,Female,76,24,26.88,645.12,Month-to-Month,Bank Transfer,1
157,Male,35,67,99.21,6647.07,One Year,Electronic Check,0
158,Female,73,30,93.73,2811.9,Month-to-Month,Mailed Check,0
159,Male,45,70,110.2,7714.0,Month-to-Month,Electronic Check,1
160,Female,74,66,43.64,2880.24,One Year,Electronic Check,0
161,Male,69,61,65.63,4003.43,Two Year,Credit Card,0
162,Male,49,41,38.45,1576.45,Month-to-Month,Bank Transfer,0
163,Female,29,51,57.12,2913.12,Month-to-Month,Mailed Check,0
164,Female,65,44,72.22,3177.68,Month-to-Month,Mailed Check,1
165,Female,59,13,25.33,329.29,Month-to-Month,Bank Transfer,0
166,Male,44,12,91.49,1097.88,One Year,Bank Transfer,0
167,Female,27,9,74.33,668.97,Month-to-Month,Credit Card,0
168,Male,63,48,102.9,4939.2,Month-to-Month,Credit Card,1
169,Male,74,49,47.18,2311.82,Two Year,Mailed Check,0
170,Female,69,53,110.33,5847.49,One Year,Bank Transfer,1
171,Female,59,56,119.87,6712.72,Month-to-Month,Electronic Check,0
172,Male,49,40,111.93,4477.2,Month-to-Month,Electronic Check,0
173,Male,59,24,97.79,2346.96,Month-to-Month,Bank Transfer,0
174,Female,43,72,101.24,7289.28,Month-to-Month,Mailed Check,1
175,Female,42,33,77.37,2553.21,One Year,Electronic Check,0
176,Female,28,23,39.02,897.46,One Year,Electronic Check,0
177,Male,40,54,87.7,4735.8,Month-to-Month,Bank Transfer,1
178,Male,51,53,91.28,4837.84,One Year,Credit Card,0
179,Male,74,49,118.54,5808.46,Month-to-Month,Electronic Check,0
180,Male,69,49,74.13,3632.37,Month-to-Month,Credit Card,0
181,Male,57,60,47.14,2828.4,Two Year,Electronic Check,0
182,Male,79,65,88.37,5744.05,Month-to-Month,Mailed Check,1
183,Female,40,32,117.94,3774.08,Month-to-Month,Credit Card,1
184,Male,46,21,37.72,792.12,Two Year,Mailed Check,0
185,Male,48,18,52.6,946.8,Month-to-Month,Credit Card,0
186,Male,24,60,74.19,4451.4,Month-to-Month,Bank Transfer,0
187,Female,57,13,37.02,481.26,One Year,Bank Transfer,0
188,Male,50,24,22.22,533.28,One Year,Electronic Check,0
189,Male,38,30,53.7,1611.0,Two Year,Mailed Check,0
190,Female,19,2,106.54,213.08,Month-to-Month,Credit Card,1
191,Male,35,25,24.35,608.75,Month-to-Month,Mailed Check,0
192,Male,64,50,62.89,3144.5,Month-to-Month,Mailed Check,0
193,Male,50,14,96.22,1347.08,One Year,Electronic Check,0
194,Male,54,6,115.32,691.92,Month-to-Month,Bank Transfer,1
195,Male,51,30,118.55,3556.5,One Year,Credit Card,0
196,Female,37,30,62.2,1866.0,Month-to-Month,Electronic Check,0
197,Female,52,38,115.04,4371.52,Month-to-Month,Mailed Check,1
198,Female,68,58,23.54,1365.32,Month-to-Month,Bank Transfer,1
199,Male,67,41,94.59,3878.19,Two Year,Bank Transfer,0
200,Male,78,57,84.27,4803.39,Two Year,Credit Card,0
201,Male,71,36,44.95,1618.2,Two Year,Bank Transfer,0
202,Female,35,64,70.73,4526.72,Month-to-Month,Mailed Check,0
203,Male,63,16,32.96,527.36,Month-to-Month,Bank Transfer,1
204,Male,79,72,107.16,7715.52,Month-to-Month,Mailed Check,1
205,Female,41,14,55.79,781.06,One Year,Credit Card,0
206,Male,25,31,82.6,2560.6,Month-to-Month,Mailed Check,1
207,Female,78,66,35.88,2368.08,Month-to-Month,Bank Transfer,0
208,Female,47,68,40.62,2762.16,Month-to-Month,Bank Transfer,0
209,Female,61,65,119.2,7748.0,Month-to-Month,Credit Card,0
210,Male,70,55,95.31,5242.05,Month-to-Month,Credit Card,1
211,Male,27,40,116.2,4648.0,Month-to-Month,Bank Transfer,0
212,Male,40,25,49.59,1239.75,Month-to-Month,Credit Card,0
213,Male,69,25,36.46,911.5,Month-to-Month,Mailed Check,1
214,Male,66,3,70.31,210.93,One Year,Electronic Check,0
215,Male,28,69,69.47,4793.43,One Year,Mailed Check,0
216,Male,19,26,37.49,974.74,Month-to-Month,Mailed Check,0
217,Female,75,40,93.32,3732.8,One Year,Credit Card,1
218,Male,43,38,56.18,2134.84,Month-to-Month,Electronic Check,0
219,Female,53,38,38.64,1468.32,Month-to-Month,Bank Transfer,0
220,Male,50,68,53.2,3617.6,One Year,Credit Card,0
221,Male,64,7,76.37,534.59,Two Year,Mailed Check,0
222,Male,30,30,92.65,2779.5,One Year,Electronic Check,0
223,Female,57,19,68.19,1295.61,Month-to-Month,Credit Card,0
224,Female,42,35,72.56,2539.6,One Year,Mailed Check,0
225,Female,21,33,33.89,1118.37,Month-to-Month,Mailed Check,0
226,Female,59,33,111.47,3678.51,Month-to-Month,Bank Transfer,1
227,Male,36,38,112.87,4289.06,Month-to-Month,Bank Transfer,0
228,Female,35,10,88.34,883.4,One Year,Electronic Check,0
229,Male,54,57,21.76,1240.32,Month-to-Month,Mailed Check,0
230,Male,47,28,73.71,2063.88,One Year,Mailed Check,0
231,Female,36,38,82.92,3150.96,One Year,Bank Transfer,0
232,Female,75,16,119.47,1911.52,Month-to-Month,Mailed Check,1
233,Female,40,21,119.61,2511.81,Two Year,Bank Transfer,0
234,Female,76,6,105.76,634.56,One Year,Mailed Check,0
235,Female,71,41,26.38,1081.58,Month-to-Month,Bank Transfer,0
236,Female,33,15,115.33,1729.95,Month-to-Month,Bank Transfer,0
237,Female,18,3,81.27,243.81,One Year,Electronic Check,0
238,Female,29,43,100.09,4303.87,Month-to-Month,Mailed Check,0
239,Male,41,47,60.72,2853.84,Two Year,Mailed Check,0
240,Female,51,14,51.97,727.58,Month-to-Month,Bank Transfer,0
241,Female,70,66,66.32,4377.12,Month-to-Month,Mailed Check,0
242,Male,74,29,34.69,1006.01,Two Year,Bank Transfer,0
243,Female,25,4,55.71,222.84,Two Year,Electronic Check,0
244,Male,35,26,105.76,2749.76,Month-to-Month,Electronic Check,1
245,Male,74,12,23.8,285.6,One Year,Bank Transfer,0
246,Female,65,2,35.09,70.18,Month-to-Month,Credit Card,0
247,Male,22,17,32.51,552.67,One Year,Electronic Check,0
248,Male,43,35,60.31,2110.85,Two Year,Mailed Check,0
249,Male,47,10,119.7,1197.0,Month-to-Month,Bank Transfer,1
250,Male,71,43,37.34,1605.62,Month-to-Month,Bank Transfer,1
251,Female,30,21,34.55,725.55,Month-to-Month,Electronic Check,0
252,Male,36,15,111.51,1672.65,Month-to-Month,Bank Transfer,0
253,Female,46,35,108.21,3787.35,Month-to-Month,Electronic Check,1
254,Male,20,60,23.22,1393.2,Two Year,Bank Transfer,0
255,Male,43,44,95.17,4187.48,Month-to-Month,Electronic Check,1
256,Male,57,5,85.55,427.75,Month-to-Month,Mailed Check,1
257,Male,76,18,96.77,1741.86,One Year,Credit Card,0
258,Female,75,21,69.45,1458.45,Month-to-Month,Credit Card,0
259,Female,75,72,119.14,8578.08,Month-to-Month,Credit Card,1
260,Male,29,51,24.38,1243.38,Month-to-Month,Credit Card,1
261,Male,19,41,43.44,1781.04,One Year,Electronic Check,0
262,Female,28,24,59.65,1431.6,Month-to-Month,Bank Transfer,0
263,Male,61,24,64.98,1559.52,One Year,Credit Card,0
264,Male,45,38,112.14,4261.32,Month-to-Month,Bank Transfer,0
265,Male,35,44,76.0,3344.0,One Year,Electronic Check,0
266,Female,30,57,24.51,1397.07,One Year,Electronic Check,0
267,Female,54,59,60.79,3586.61,One Year,Credit Card,0
268,Female,39,34,61.65,2096.1,Month-to-Month,Mailed Check,0
269,Male,29,23,116.55,2680.65,Month-to-Month,Credit Card,1
270,Male,19,43,79.92,3436.56,Two Year,Bank Transfer,0
271,Female,54,40,83.57,3342.8,Month-to-Month,Credit Card,0
272,Female,24,47,91.33,4292.51,Month-to-Month,Electronic Check,1
273,Female,43,41,97.0,3977.0,One Year,Electronic Check,0
274,Female,43,47,83.51,3924.97,Two Year,Bank Transfer,0
275,Male,41,20,43.72,874.4,Month-to-Month,Bank Transfer,0
276,Female,29,65,107.4,6981.0,One Year,Bank Transfer,1
277,Male,33,68,93.21,6338.28,One Year,Credit Card,0
278,Female,40,24,94.19,2260.56,Month-to-Month,Credit Card,0
279,Male,57,36,119.66,4307.76,One Year,Mailed Check,0
280,Female,79,45,100.25,4511.25,Two Year,Bank Transfer,1
281,Female,77,2,102.92,205.84,Two Year,Mailed Check,0
282,Female,26,28,115.14,3223.92,Month-to-Month,Mailed Check,0
283,Female,49,26,35.11,912.86,One Year,Electronic Check,0
284,Male,32,23,69.77,1604.71,Month-to-Month,Mailed Check,0
285,Female,54,36,78.06,2810.16,Month-to-Month,Electronic Check,0
286,Male,30,6,52.93,317.58,One Year,Bank Transfer,0
287,Male,22,35,103.94,3637.9,Month-to-Month,Electronic Check,0
288,Male,28,38,96.24,3657.12,Month-to-Month,Bank Transfer,0
289,Male,27,35,92.09,3223.15,Month-to-Month,Credit Card,0
290,Female,69,53,119.71,6344.63,Month-to-Month,Mailed Check,0
291,Male,30,38,45.94,1745.72,Month-to-Month,Bank Transfer,0
292,Male,58,59,93.55,5519.45,Month-to-Month,Credit Card,0
293,Male,70,43,75.14,3231.02,One Year,Credit Card,0
294,Female,63,4,51.3,205.2,Month-to-Month,Bank Transfer,1
295,Female,67,5,36.06,180.3,One Year,Electronic Check,0
296,Female,32,68,109.59,7452.12,Two Year,Bank Transfer,0
297,Female,59,45,79.55,3579.75,Month-to-Month,Mailed Check,1
298,Male,73,25,102.49,2562.25,One Year,Credit Card,0
299,Male,24,11,74.53,819.83,One Year,Electronic Check,0
300,Female,57,29,42.0,1218.0,One Year,Bank Transfer,0
301,Male,45,34,53.75,1827.5,Month-to-Month,Bank Transfer,0
302,Male,49,14,58.15,814.1,One Year,Credit Card,0
303,Male,52,24,117.29,2814.96,Month-to-Month,Bank Transfer,0
304,Female,32,59,20.56,1213.04,Month-to-Month,Mailed Check,0
305,Female,65,39,118.57,4624.23,One Year,Electronic Check,0
306,Male,53,26,118.05,3069.3,Month-to-Month,Mailed Check,0
307,Female,38,43,119.62,5143.66,One Year,Credit Card,1
308,Female,23,36,67.66,2435.76,One Year,Electronic Check,0
309,Female,18,39,116.38,4538.82,One Year,Credit Card,0
310,Female,21,61,59.56,3633.16,Month-to-Month,Credit Card,1
311,Female,28,16,22.63,362.08,Two Year,Mailed Check,0
312,Male,61,59,42.43,2503.37,One Year,Electronic Check,0
313,Female,43,6,114.53,687.18,Month-to-Month,Credit Card,0
314,Male,78,56,21.38,1197.28,Month-to-Month,Mailed Check,0
315,Male,54,8,74.6,596.8,One Year,Mailed Check,0
316,Female,40,27,27.56,744.12,Two Year,Electronic Check,0
317,Male,46,71,48.64,3453.44,One Year,Bank Transfer,0
318,Male,38,27,28.81,777.87,One Year,Bank Transfer,0
319,Male,65,46,105.95,4873.7,Month-to-Month,Credit Card,0
320,Female,62,41,79.11,3243.51,Month-to-Month,Bank Transfer,1
321,Female,62,25,110.21,2755.25,Month-to-Month,Electronic Check,0
322,Male,66,18,88.84,1599.12,One Year,Bank Transfer,0
323,Female,44,12,117.1,1405.2,Month-to-Month,Electronic Check,0
324,Female,56,51,70.99,3620.49,Month-to-Month,Credit Card,0
325,Female,57,39,83.87,3270.93,Month-to-Month,Bank Transfer,0
326,Female,30,10,77.63,776.3,Two Year,Electronic Check,0
327,Male,40,54,68.43,3695.22,One Year,Electronic Check,0
328,Male,76,29,104.6,3033.4,Month-to-Month,Electronic Check,0
329,Female,33,41,84.45,3462.45,Two Year,Mailed Check,0
330,Female,47,9,100.13,901.17,Month-to-Month,Credit Card,0
331,Male,78,63,98.64,6214.32,Month-to-Month,Electronic Check,1
332,Male,21,37,39.1,1446.7,Month-to-Month,Mailed Check,0
333,Female,57,14,85.02,1190.28,Month-to-Month,Mailed Check,1
334,Male,33,72,39.96,2877.12,Month-to-Month,Electronic Check,1
335,Female,48,39,78.33,3054.87,One Year,Credit Card,0
336,Female,70,40,87.74,3509.6,One Year,Bank Transfer,0
337,Male,59,54,119.72,6464.88,One Year,Mailed Check,0
338,Male,42,3,23.05,69.15,One Year,Electronic Check,0
339,Female,61,55,29.12,1601.6,One Year,Credit Card,0
340,Female,29,33,27.7,914.1,Month-to-Month,Credit Card,1
341,Male,43,71,59.84,4248.64,One Year,Electronic Check,0
342,Female,54,19,102.16,1941.04,One Year,Mailed Check,0
343,Male,65,34,104.41,3549.94,Two Year,Bank Transfer,0
344,Female,50,50,93.7,4685.0,Month-to-Month,Credit Card,1
345,Male,45,47,109.69,5155.43,Month-to-Month,Bank Transfer,0
346,Male,26,46,52.29,2405.34,One Year,Credit Card,0
347,Male,29,56,28.82,1613.92,One Year,Credit Card,0
348,Female,22,57,25.82,1471.74,Month-to-Month,Credit Card,1
349,Female,71,51,105.21,5365.71,One Year,Mailed Check,0
350,Male,69,54,93.04,5024.16,Month-to-Month,Mailed Check,0
351,Female,71,28,89.86,2516.08,Two Year,Electronic Check,0
352,Male,45,19,53.97,1025.43,Month-to-Month,Bank Transfer,1
353,Male,73,27,57.99,1565.73,Month-to-Month,Bank Transfer,1
354,Female,52,48,115.81,5558.88,Month-to-Month,Electronic Check,0
355,Female,22,19,26.38,501.22,Month-to-Month,Mailed Check,1
356,Male,51,51,97.37,4965.87,Month-to-Month,Bank Transfer,1
357,Female,63,7,50.96,356.72,One Year,Electronic Check,0
358,Female,51,29,23.91,693.39,Two Year,Credit Card,0
359,Male,30,43,94.26,4053.18,Month-to-Month,Bank Transfer,0
360,Male,56,69,53.09,3663.21,One Year,Mailed Check,0
361,Female,59,58,92.21,5348.18,Month-to-Month,Bank Transfer,0
362,Male,62,8,90.77,726.16,Month-to-Month,Credit Card,0
363,Male,65,42,73.48,3086.16,Month-to-Month,Mailed Check,0
364,Female,75,42,97.74,4105.08,Month-to-Month,Mailed Check,0
365,Male,31,13,78.1,1015.3,One Year,Electronic Check,0
366,Male,28,26,48.66,1265.16,Month-to-Month,Mailed Check,0
367,Female,59,18,93.41,1681.38,Two Year,Electronic Check,0
368,Female,55,42,78.91,3314.22,One Year,Mailed Check,0
369,Male,21,51,21.27,1084.77,One Year,Credit Card,0
370,Male,70,16,110.16,1762.56,Two Year,Credit Card,0
371,Female,50,3,74.56,223.68,Two Year,Credit Card,0
372,Female,24,45,106.86,4808.7,One Year,Credit Card,0
373,Female,73,22,108.27,2381.94,Month-to-Month,Credit Card,0
374,Female,58,23,64.5,1483.5,Month-to-Month,Bank Transfer,0
375,Male,25,59,70.77,4175.43,One Year,Credit Card,0
376,Female,54,62,61.58,3817.96,One Year,Mailed Check,0
377,Female,68,68,64.94,4415.92,Two Year,Electronic Check,0
378,Male,27,54,109.51,5913.54,Month-to-Month,Bank Transfer,1
379,Female,60,57,98.81,5632.17,Month-to-Month,Mailed Check,0
380,Male,74,23,32.65,750.95,Month-to-Month,Credit Card,0
381,Female,32,60,81.03,4861.8,Two Year,Credit Card,0
382,Female,55,55,119.59,6577.45,Month-to-Month,Mailed Check,0
383,Female,32,63,79.56,5012.28,Month-to-Month,Bank Transfer,0
384,Male,22,56,98.59,5521.04,Month-to-Month,Electronic Check,1
385,Male,46,55,96.91,5330.05,Month-to-Month,Electronic Check,0
386,Female,36,25,55.03,1375.75,Month-to-Month,Electronic Check,0
387,Male,71,26,57.18,1486.68,One Year,Electronic Check,0
388,Male,68,49,92.41,4528.09,Month-to-Month,Credit Card,0
389,Male,27,63,70.0,4410.0,One Year,Bank Transfer,0
390,Male,29,45,77.06,3467.7,Two Year,Credit Card,0
391,Male,71,39,91.29,3560.31,Two Year,Bank Transfer,0
392,Male,21,65,97.76,6354.4,One Year,Electronic Check,0
393,Female,48,69,47.15,3253.35,One Year,Mailed Check,0
394,Female,35,56,34.68,1942.08,Month-to-Month,Mailed Check,0
395,Male,33,9,49.18,442.62,Two Year,Credit Card,0
396,Female,57,70,70.75,4952.5,Month-to-Month,Mailed Check,0
397,Female,53,28,54.21,1517.88,Month-to-Month,Credit Card,1
398,Female,42,45,76.84,3457.8,Month-to-Month,Credit Card,0
399,Female,40,26,25.35,659.1,Month-to-Month,Bank Transfer,0
400,Male,29,28,70.98,1987.44,Month-to-Month,Electronic Check,1
401,Female,51,40,56.8,2272.0,One Year,Electronic Check,0
402,Female,53,15,73.47,1102.05,One Year,Electronic Check,0
403,Male,54,6,62.25,373.5,One Year,Electronic Check,0
404,Male,20,27,48.42,1307.34,Month-to-Month,Bank Transfer,1
405,Female,26,38,110.41,4195.58,Two Year,Electronic Check,0
406,Female,78,68,38.48,2616.64,Month-to-Month,Electronic Check,1
407,Female,70,64,88.14,5640.96,Month-to-Month,Mailed Check,1
408,Female,35,30,112.46,3373.8,One Year,Electronic Check,0
409,Female,60,3,73.87,221.61,Two Year,Electronic Check,0
410,Female,52,62,107.64,6673.68,Month-to-Month,Credit Card,1
411,Male,79,12,32.49,389.88,One Year,Credit Card,0
412,Female,74,30,69.38,2081.4,One Year,Electronic Check,0
413,Female,72,38,65.7,2496.6,Two Year,Credit Card,0
414,Male,51,60,20.81,1248.6,Month-to-Month,Mailed Check,0
415,Male,58,38,64.33,2444.54,Month-to-Month,Mailed Check,0
416,Male,31,15,56.9,853.5,Month-to-Month,Mailed Check,0
417,Male,21,18,86.98,1565.64,Month-to-Month,Bank Transfer,0
418,Female,46,52,113.83,5919.16,Month-to-Month,Mailed Check,0
419,Female,58,29,28.58,828.82,Two Year,Electronic Check,0
420,Female,62,60,52.75,3165.0,Month-to-Month,Mailed Check,0
